dasa logo
DASA and CSAB-Special 2025
NITs, IIEST, IIITs, SPAs, Other-GFTIs, and a few other Premier Technical Institutes

  Home
Opening and Closing Ranks
Special Round:
Institute Type:
Institute Name:
Academic Program:
Opening and closing ranks for New (Fresh Allottee) and Upgraded (Seat Upgraded) candidates in the First, Second, and Third rounds of Special Vacant and DASA Seat Filling Rounds.

Note :
1. All ranks are All India CRL Rank.
2. These ranks are based on following types of Candidates.
a) who reported online at PI (Secured admission) in JoSAA round 6 and upgraded the institute/program/category/quota/gender pool in CSAB Special Round.
b) who got fresh allotment in CSAB Special Round.


Institute	Academic Program Name	Quota	Seat Type	Gender	Opening Rank	Closing Rank
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Electronics and VLSI Engineering (4 Years, Bachelor of Technology)	Other State	EWS	Gender-Neutral	20988	22426
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Electronics and VLSI Engineering (4 Years, Bachelor of Technology)	Other State	OBC-NCL	Gender-Neutral	25046	25328
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Electronics and VLSI Engineering (4 Years, Bachelor of Technology)	Other State	OBC-NCL	Female-only (including Supernumerary)	48551	48551
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Electronics and VLSI Engineering (4 Years, Bachelor of Technology)	Other State	SC	Female-only (including Supernumerary)	150141	150141
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Industrial and Production Engineering (4 Years, Bachelor of Technology)	All India	ST	Gender-Neutral	238060	245561
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Industrial and Production Engineering (4 Years, Bachelor of Technology)	Home State	OPEN	Gender-Neutral	36643	73433
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Industrial and Production Engineering (4 Years, Bachelor of Technology)	Home State	OPEN	Female-only (including Supernumerary)	73274	73274
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Industrial and Production Engineering (4 Years, Bachelor of Technology)	Home State	EWS	Gender-Neutral	88333	98718
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Industrial and Production Engineering (4 Years, Bachelor of Technology)	Home State	EWS	Female-only (including Supernumerary)	113299	113299
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Industrial and Production Engineering (4 Years, Bachelor of Technology)	Home State	OBC-NCL	Gender-Neutral	97257	126234
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Industrial and Production Engineering (4 Years, Bachelor of Technology)	Home State	SC	Gender-Neutral	206547	258059
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Industrial and Production Engineering (4 Years, Bachelor of Technology)	Other State	OPEN	Gender-Neutral	45921	49011
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Industrial and Production Engineering (4 Years, Bachelor of Technology)	Other State	OPEN	Female-only (including Supernumerary)	63036	70983
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Industrial and Production Engineering (4 Years, Bachelor of Technology)	Other State	EWS	Gender-Neutral	53031	53131
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Industrial and Production Engineering (4 Years, Bachelor of Technology)	Other State	EWS	Female-only (including Supernumerary)	81940	81940
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Industrial and Production Engineering (4 Years, Bachelor of Technology)	Other State	OBC-NCL	Gender-Neutral	53937	57397
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Industrial and Production Engineering (4 Years, Bachelor of Technology)	Other State	OBC-NCL	Female-only (including Supernumerary)	84239	84431
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Industrial and Production Engineering (4 Years, Bachelor of Technology)	Other State	SC	Gender-Neutral	171685	182594
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Industrial and Production Engineering (4 Years, Bachelor of Technology)	Other State	ST	Gender-Neutral	255117	257922
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Industrial and Production Engineering (4 Years, Bachelor of Technology)	Other State	ST	Female-only (including Supernumerary)	318587	318587
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Information Technology (4 Years, Bachelor of Technology)	Home State	OPEN	Gender-Neutral	16359	22021
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Information Technology (4 Years, Bachelor of Technology)	Home State	OPEN	Female-only (including Supernumerary)	24158	24158
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Information Technology (4 Years, Bachelor of Technology)	Home State	EWS	Gender-Neutral	25343	25343
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Information Technology (4 Years, Bachelor of Technology)	Home State	EWS	Female-only (including Supernumerary)	51415	51415
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Information Technology (4 Years, Bachelor of Technology)	Home State	OBC-NCL	Gender-Neutral	39874	55156
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Information Technology (4 Years, Bachelor of Technology)	Home State	SC	Gender-Neutral	152290	152290
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Information Technology (4 Years, Bachelor of Technology)	Other State	OPEN	Gender-Neutral	14530	17144
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Information Technology (4 Years, Bachelor of Technology)	Other State	OPEN	Female-only (including Supernumerary)	25783	27253
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Information Technology (4 Years, Bachelor of Technology)	Other State	EWS	Gender-Neutral	17168	17641
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Information Technology (4 Years, Bachelor of Technology)	Other State	EWS	Female-only (including Supernumerary)	29913	29913
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Information Technology (4 Years, Bachelor of Technology)	Other State	OBC-NCL	Gender-Neutral	19116	22211
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Information Technology (4 Years, Bachelor of Technology)	Other State	OBC-NCL	Female-only (including Supernumerary)	36813	36813
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Information Technology (4 Years, Bachelor of Technology)	Other State	SC	Gender-Neutral	81267	81267
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Information Technology (4 Years, Bachelor of Technology)	Other State	ST	Gender-Neutral	126060	126060
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Information Technology for DASA-CIWG (4 Years, Bachelor of Technology)	DASA-CIWG	OPEN	Gender-Neutral	675536	769321
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Instrumentation and Control Engineering (4 Years, Bachelor of Technology)	All India	ST	Gender-Neutral	208588	214746
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Instrumentation and Control Engineering (4 Years, Bachelor of Technology)	Home State	OPEN	Gender-Neutral	33138	40924
